,JobTitle,CompanyName,CompanyNature,CompanySize,IndustryField,Salary,Workplace,Workyear,Education,RecruitNumbers,PositionAdvantage,Standard,LowSalary,HighSalary,HighOrLow
13,ASP.NET开发工程师,深圳法通科技有限公司,民营公司,50-150人,"计算机软件,计算机硬件",4.5-9千/月,深圳,无工作经验,本科,招若干人,"['五险一金', '专业培训', '周末双休', '节日活动', '员工旅游']",2,4.5,9.0,1
14,.NET开发工程师,深圳新为软件股份有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",0.8-1.5万/月,深圳,1年经验,大专,招8人,"['五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']",3,8.0,15.0,1
15,.net（应届生）,艾普阳科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,4-7千/月,深圳,无工作经验,大专,招若干人,['五险一金'],2,4.0,7.0,1
16,.NET软件工程师,深圳市巨沃科技有限公司,民营公司,150-500人,计算机软件,0.7-1.6万/月,深圳,1年经验,本科,招3人,"['五险一金', '补充医疗保险', '员工旅游', '绩效奖金', '年终奖金', '定期体检', '周末双休', '节日福利']",3,7.0,16.0,1
17,.NET开发工程师,深圳市道控技术有限公司,民营公司,150-500人,"互联网/电子商务,计算机硬件",0.8-1.5万/月,深圳,2年经验,大专,招2人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '出国机会', '专业培训']",3,8.0,15.0,1
18,.net高级程序员,深圳市跃迈科技有限公司,民营公司,少于50人,"计算机软件,互联网/电子商务",1.5-3万/月,深圳,3-4年经验,大专,招5人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '周末双休', '全勤奖', '节日福利', '加班补贴']",3,15.0,30.0,1
19,.net工程师,深圳市天方达健信科技股份有限公司,民营公司,150-500人,"计算机软件,互联网/电子商务",0.7-1.5万/月,深圳,2年经验,本科,招1人,"['五险一金', '员工旅游', '绩效奖金', '年终奖金', '周末双休']",3,7.0,15.0,1
20,高级软件开发工程师 .NET,美亚电子科技有限公司,外资（非欧美）,150-500人,"电子技术/半导体/集成电路,贸易/进出口",0.8-2万/月,深圳,3-4年经验,本科,招2人,"['五险一金', '补充医疗保险', '员工旅游', '节日福利', '周末双休', '年终双薪', '带薪年假', '交通补贴', '绩效奖金', '出国机会']",3,8.0,20.0,1
21,.NET开发工程师,深圳市中科计算机软件技术有限责任公司,民营公司,少于50人,计算机软件,0.7-1.5万/月,深圳,2年经验,大专,招2人,['五险一金'],3,7.0,15.0,1
22,.NET软件开发工程师 Programmer,萃领科技（深圳）有限公司,外资（欧美）,50-150人,"计算机软件,互联网/电子商务",0.5-1万/月,深圳,2年经验,大专,招2人,"['五险一金', '带薪年假', '带薪病假', '周末双休']",3,5.0,10.0,1
23,.net开发工程师,深圳市交投科技有限公司,民营公司,50-150人,计算机软件,0.8-1.5万/月,深圳,2年经验,本科,招3人,"['五险一金', '年终奖金', '弹性工作', '绩效奖金', '员工旅游']",3,8.0,15.0,1
24,.net开发工程师（CCES/CCAI）,中原（中国）房地产代理有限公司,外资（非欧美）,500-1000人,"中介服务,房地产",1-2万/月,深圳,3-4年经验,大专,招1人,['五险一金'],3,10.0,20.0,1
25,.NET中级开发工程师,易交易科技（深圳）有限公司,外资（非欧美）,50-150人,计算机软件,1.5-2.5万/月,深圳,2年经验,大专,招若干人,"['五险一金', '项目奖金', '年终奖金', '带薪年假', '员工活动', '咖啡、零食', '领导Nice']",3,15.0,25.0,1
26,.NET开发工程师,成都迈思信息技术有限公司,民营公司,150-500人,计算机软件,1-1.5万/月,深圳,2年经验,大专,招1人,"['五险一金', '弹性工作', '绩效奖金', '年终奖金', '交通补贴']",3,10.0,15.0,1
27,.NET开发工程师,科立讯通信股份有限公司,民营公司,500-1000人,"通信/电信/网络设备,通信/电信运营、增值服务",1.2-2万/月,深圳,3-4年经验,本科,招1人,"['五险一金', '员工旅游', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检']",3,12.0,20.0,1
28,.NET开发工程师,深圳市长盈精密技术股份有限公司,上市公司,10000人以上,"电子技术/半导体/集成电路,仪器仪表/工业自动化",0.7-1.5万/月,深圳,无工作经验,大专,招若干人,"['五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金', '股票期权', '定期体检']",3,7.0,15.0,1
